fraction,result
0.02,1.0
0.04,1.0
0.06,1.0
0.08,0.9615384615384616
0.1,0.90625
0.12,0.8461538461538461
0.14,0.8666666666666667
0.16,0.8076923076923077
0.18,0.7586206896551724
0.2,0.7230769230769231
0.22,0.7183098591549296
0.24,0.6666666666666666
0.26,0.6785714285714286
0.28,0.6263736263736264
0.3,0.6494845360824743
0.32,0.6057692307692307
0.34,0.6090909090909091
0.36,0.5982905982905983
0.38,0.5772357723577236
0.4,0.5846153846153846
0.42,0.5588235294117647
0.44,0.5664335664335665
0.46,0.5503355704697986
0.48,0.5256410256410257
