fraction,result
0.02,0.4666666666666666
0.04,0.4461538461538461
0.06,0.5105263157894736
0.08,0.4076923076923077
0.1,0.49375
0.12,0.45384615384615384
0.14,0.4466666666666667
0.16,0.4423076923076923
0.18,0.4396551724137931
0.2,0.43230769230769234
0.22,0.47323943661971835
0.24,0.4397435897435897
0.26,0.4416666666666667
0.28,0.44505494505494503
0.3,0.44329896907216493
0.32,0.44999999999999996
0.34,0.4527272727272727
0.36,0.45470085470085475
0.38,0.4682926829268293
0.4,0.4523076923076923
0.42,0.4455882352941177
0.44,0.45174825174825173
0.46,0.4456375838926175
0.48,0.4583333333333333
