fraction,result
0.02,1.0
0.04,0.9846153846153847
0.06,0.9842105263157894
0.08,0.9807692307692307
0.1,0.98125
0.12,0.982051282051282
0.14,0.9777777777777777
0.16,0.9807692307692307
0.18,0.9155172413793103
0.2,0.8615384615384616
0.22,0.8098591549295775
0.24,0.7666666666666666
0.26,0.7488095238095238
0.28,0.7252747252747253
0.3,0.6969072164948453
0.32,0.6855769230769231
0.34,0.6636363636363637
0.36,0.6452991452991453
0.38,0.6544715447154471
0.4,0.6276923076923077
0.42,0.598529411764706
0.44,0.6055944055944056
0.46,0.5812080536912752
0.48,0.5788461538461538
