fraction,result
0.02,1.0
0.04,1.0
0.06,1.0
0.08,1.0
0.1,1.0
0.12,0.9743589743589743
0.14,0.9333333333333333
0.16,0.9230769230769231
0.18,0.896551724137931
0.2,0.8615384615384616
0.22,0.8169014084507042
0.24,0.7692307692307693
0.26,0.7738095238095238
0.28,0.7142857142857143
0.3,0.711340206185567
0.32,0.6730769230769231
0.34,0.6454545454545455
0.36,0.6239316239316239
0.38,0.6178861788617886
0.4,0.6
0.42,0.5882352941176471
0.44,0.5664335664335665
0.46,0.5704697986577181
0.48,0.5512820512820513
