fraction,result
0.02,1.0
0.04,1.0
0.06,1.0
0.08,1.0
0.1,1.0
0.12,1.0
0.14,0.9117647058823529
0.16,0.8368421052631579
0.18,0.8454545454545456
0.2,0.8291666666666666
0.22,0.7703703703703704
0.24,0.7517241379310345
0.26,0.7258064516129032
0.28,0.6911764705882353
0.3,0.7083333333333334
0.32,0.6871794871794872
0.34,0.6878048780487804
0.36,0.6772727272727272
0.38,0.6652173913043479
0.4,0.6489795918367347
0.42,0.6686274509803922
0.44,0.637037037037037
0.46,0.6392857142857142
0.48,0.635593220338983
