fraction,result
0.02,1.0
0.04,1.0
0.06,1.0
0.08,0.8888888888888888
0.1,0.9166666666666666
0.12,0.8571428571428571
0.14,0.8235294117647058
0.16,0.8421052631578947
0.18,0.7272727272727273
0.2,0.75
0.22,0.7037037037037037
0.24,0.6896551724137931
0.26,0.7096774193548387
0.28,0.7352941176470589
0.3,0.7222222222222222
0.32,0.6666666666666666
0.34,0.6829268292682927
0.36,0.7045454545454546
0.38,0.6956521739130435
0.4,0.6530612244897959
0.42,0.6666666666666666
0.44,0.6851851851851852
0.46,0.6607142857142857
0.48,0.6440677966101694
